customer_id,customer_name,gender,city,state,signup_date,membership,age
C00030,Anamika,Female,Jalandhar,PB,2023-08-22,Gold,57
C00031,Anamika,Female,Palghar,MH,2024-08-07,None,29
C00032,Dhoni,Male,Jaipur,RJ,2024-04-07,None,20
C00033,Sourabh,Male,Mangaluru,KA,2024-03-10,Platinum,59
C00034,Anjali,Female,Mysuru,KA,2024-06-12,Gold,24
C00035,Ajay,Male,Patiala,PB,2024-12-29,Gold,51
C00036,Suraj,Male,Dadar,MH,2025-05-10,Silver,43
C00037,Sonu,Male,Palghar,MH,2024-02-22,Platinum,33
C00038,Dhoni,Male,Ludhiyana,PB,2024-06-10,Silver,22
C00039,Shreya,Female,Palghar,MH,2023-04-26,Silver,26
C00040,Dhoni,Male,Nashik,MH,2023-01-08,Silver,30
C00041,Arafat,Male,Vasai,MH,2024-08-22,Platinum,19
C00042,Briti,Female,Patiala,PB,2024-11-10,Platinum,24
C00043,Brijesh,Male,Nashik,MH,2023-04-14,Gold,42
C00044,Nitesh,Male,Hubballi-Dharwad,KA,2023-10-30,Gold,66
C00045,Anamika,Female,Amritsar,PB,2023-05-11,Gold,57
C00046,Nitesh,Male,Amritsar,PB,2024-10-28,Silver,31
C00047,Aarti,Female,Amritsar,PB,2024-10-21,Silver,23
C00048,Anjali,Female,Mysuru,KA,2024-12-16,Silver,68
C00049,Briti,Female,Belagavi,KA,2025-05-22,Silver,54
C00050,Shreya,Female,Belagavi,KA,2024-08-03,Silver,41
C00051,Dhriti,Female,Jalandhar,PB,2024-01-21,Silver,70
C00052,Anamika,Female,Palghar,MH,2023-08-09,Silver,19
C00053,Anamika,Female,Belagavi,KA,2025-06-07,Platinum,47
C00054,Minakshi,Female,Mangaluru,KA,2024-09-13,Platinum,47
C00055,Arafat,Male,Belagavi,KA,2024-04-08,None,56
C00056,Suraj,Male,Hubballi-Dharwad,KA,2023-03-06,Platinum,26
C00057,Aarti,Female,Hubballi-Dharwad,KA,2025-05-31,Silver,25
C00058,Briti,Female,Patiala,PB,2024-11-27,None,48
C00059,Sourabh,Male,Ahmedabad,GJ,2024-05-10,None,68
C00060,Sakhshi,Female,Nashik,MH,2023-04-13,Gold,26
C00061,Rahul,Male,Nashik,MH,2023-03-19,Gold,31
C00062,Dhoni,Male,Mumbai,MH,2024-11-01,None,60
C00063,Param,Male,Jalandhar,PB,2025-03-08,Gold,55
C00064,Sharda,Female,Chennai,TN,2024-08-29,Gold,33
C00065,Vivek,Male,Patiala,PB,2024-09-22,Platinum,19
C00066,Sonu,Male,Surat,GJ,2025-05-17,Platinum,32
C00067,Arafat,Male,Jalandhar,PB,2023-04-25,Platinum,68
C00068,Priya,Female,Pune,MH,2024-07-05,Platinum,30
C00069,Aarti,Female,Dadar,MH,2023-11-14,None,25
C00070,Anamika,Female,Dadar,MH,2024-07-21,Silver,41
C00071,Sourabh,Male,Solapur,MH,2024-03-27,None,29
C00072,Arafat,Male,Vasai,MH,2024-12-07,Platinum,62
C00073,Ankita,Female,Patiala,PB,2023-04-06,Platinum,67
C00074,Aarti,Female,Dadar,MH,2025-05-27,None,40
C00075,Rahul,Male,Mysuru,KA,2023-12-14,Silver,47
C00076,Suraj,Male,Amritsar,PB,2025-05-19,Gold,65
C00077,Sourabh,Male,Mangaluru,KA,2024-04-17,Gold,36
C00078,Suraj,Male,Amritsar,PB,2023-05-05,None,67
C00079,Sonu,Male,Palghar,MH,2024-02-23,None,36
C00080,Brijesh,Male,Thane,MH,2023-10-22,Gold,51
C00081,Rahul,Male,Patiala,PB,2024-11-15,None,65
C00082,Sakhshi,Female,Nashik,MH,2023-05-05,Platinum,18
C00083,Dhoni,Male,Pune,MH,2024-10-05,None,35
C00084,Dhoni,Male,Jaipur,RJ,2024-07-10,None,48
C00085,Ajay,Male,Palghar,MH,2024-12-02,Silver,44
C00086,Anamika,Female,Belagavi,KA,2024-07-21,Silver,69
C00087,Nitesh,Male,Hubballi-Dharwad,KA,2023-10-21,Gold,67
C00088,Dhoni,Male,Pune,MH,2023-08-04,Gold,50
C00089,Minakshi,Female,Mangaluru,KA,2024-06-19,None,34
C00090,Dhoni,Male,Bengaluru,KA,2024-08-02,None,43
C00091,Shreya,Female,Belagavi,KA,2025-04-13,None,30
C00092,Brijesh,Male,Mysuru,KA,2023-04-07,None,36
C00093,Priya,Female,Jaipur,RJ,2023-07-08,Silver,30
C00094,Sakhshi,Female,Patiala,PB,2023-07-01,Silver,26
C00095,Dhriti,Female,Belagavi,KA,2025-03-26,None,21
C00096,Brijesh,Male,Mysuru,KA,2023-01-19,Silver,60
C00097,Suraj,Male,Hubballi-Dharwad,KA,2023-05-06,None,41
C00098,Prince,Male,Belagavi,KA,2023-01-29,Gold,68
C00099,Priya,Female,Pune,MH,2025-03-04,Gold,25
C00100,Vishal,Male,Ludhiyana,PB,2024-05-13,Silver,32
C00101,Dhriti,Female,Belagavi,KA,2023-01-27,Platinum,54
C00102,Prem,Male,Belagavi,KA,2025-01-08,Platinum,59
C00103,Brijesh,Male,Mysuru,KA,2023-07-19,Platinum,31
C00104,Briti,Female,Palghar,MH,2025-03-17,Silver,62
C00105,Dhoni,Male,Mumbai,MH,2023-05-01,Platinum,29
C00106,Ankita,Female,Udaipur,RJ,2024-04-19,Silver,45
C00107,Sakhshi,Female,Mysuru,KA,2023-09-18,Silver,40
C00108,Sourabh,Male,Patiala,PB,2024-05-05,Silver,54
C00109,Amol,Male,Naigaon,MH,2024-09-19,Platinum,52
C00110,Vivek,Male,Solapur,MH,2024-08-25,None,26
C00111,Anjali,Female,Mysuru,KA,2023-02-14,Silver,27
C00112,Suraj,Male,Dadar,MH,2025-05-16,Silver,46
C00113,Suraj,Male,Hubballi-Dharwad,KA,2025-03-29,None,66
C00114,Rahul,Male,Patiala,PB,2023-10-15,None,51
C00115,Sourabh,Male,Patiala,PB,2023-12-26,None,36
C00116,Vishal,Male,Patiala,PB,2024-03-14,Platinum,64
C00117,Prince,Male,Belagavi,KA,2023-04-30,None,22
C00118,Rahul,Male,Nashik,MH,2023-09-18,None,53
C00119,Prince,Male,Jalandhar,PB,2024-12-26,Gold,23
C00120,Sourabh,Male,Patiala,PB,2024-03-18,Platinum,22
C00121,Nitesh,Male,Hubballi-Dharwad,KA,2023-11-12,Gold,34
C00122,Anamika,Female,Amritsar,PB,2023-03-13,None,56
C00123,Anamika,Female,Vasai,MH,2024-07-15,None,48
C00124,Sourabh,Male,Solapur,MH,2024-03-07,Silver,47
C00125,Brijesh,Male,Nashik,MH,2023-02-19,Silver,66
C00126,Brijesh,Male,Udaipur,RJ,2024-01-20,Silver,39
C00127,Anjali,Female,Nashik,MH,2023-04-12,Platinum,42
C00128,Minakshi,Female,Mangaluru,KA,2024-03-20,Platinum,62
C00129,Prince,Male,Belagavi,KA,2024-08-31,Silver,31
C00130,Sonu,Male,Jalandhar,PB,2025-06-13,Gold,36
C00131,Samiksha,Female,Hubballi-Dharwad,KA,2024-09-27,Platinum,35
C00132,Nitesh,Male,Hubballi-Dharwad,KA,2024-10-31,Silver,65
C00133,Sourabh,Male,Mangaluru,KA,2024-05-01,Gold,64
C00134,Brijesh,Male,Mysuru,KA,2023-07-04,Silver,69
C00135,Briti,Female,Palghar,MH,2025-02-25,None,61
C00136,Priya,Female,Pune,MH,2023-10-05,Platinum,66
C00137,Sonu,Male,Belagavi,KA,2024-09-22,Platinum,35
C00138,Minakshi,Female,Mangaluru,KA,2024-05-30,Platinum,32
C00139,Briti,Female,Surat,GJ,2025-05-19,Platinum,61
C00140,Sakhshi,Female,Nashik,MH,2023-04-30,Silver,51
C00141,Priya,Female,Ludhiyana,PB,2024-06-08,Gold,62
C00142,Minakshi,Female,Mangaluru,KA,2024-01-13,Platinum,41
C00143,Sourabh,Male,Patiala,PB,2024-01-06,None,32
C00144,Ankita,Female,Mysuru,KA,2023-01-18,Silver,58
C00145,Sourabh,Male,Mangaluru,KA,2024-06-26,None,44
C00146,Arafat,Male,Vasai,MH,2025-02-16,None,56
C00147,Rahul,Male,Nashik,MH,2024-08-15,Platinum,29
C00148,Ankita,Female,Mysuru,KA,2023-01-05,Silver,53
C00149,Sonu,Male,Belagavi,KA,2025-03-23,None,38
C00150,Sakhshi,Female,Thane,MH,2023-09-09,Gold,39
C00151,Samiksha,Female,Amritsar,PB,2024-09-22,Silver,45
C00152,Dhriti,Female,Belagavi,KA,2025-03-22,Gold,42
C00153,Anjali,Female,Nashik,MH,2024-09-17,None,59
C00154,Briti,Female,Jalandhar,PB,2025-02-13,Platinum,20
C00155,Sakhshi,Female,Nashik,MH,2023-06-05,Gold,32
C00156,Priya,Female,Nashik,MH,2023-10-08,Silver,60
C00158,Param,Male,Belagavi,KA,2025-01-27,Platinum,63
C00159,Sneha,Female,Mumbai,MH,2023-06-03,Silver,22
C00160,Sakhshi,Female,Mysuru,KA,2023-08-03,None,52
C00161,Arafat,Male,Belagavi,KA,2023-02-18,Gold,32
C00162,Neha,Female,Ludhiyana,PB,2024-10-08,Platinum,44
C00163,Priya,Female,Bengaluru,KA,2025-05-08,None,68
C00164,Minakshi,Female,Patiala,PB,2023-12-31,Silver,24
C00165,Priya,Female,Nashik,MH,2024-08-08,Platinum,61
C00166,Suraj,Male,Hubballi-Dharwad,KA,2023-03-12,Gold,37
C00167,Minakshi,Female,Ahmedabad,GJ,2024-04-01,Silver,44
C00168,Dhoni,Male,Pune,MH,2024-05-05,None,19
C00169,Priya,Female,Ludhiyana,PB,2023-02-08,Platinum,44
C00170,Arafat,Male,Vasai,MH,2023-02-01,Gold,24
C00171,Dhoni,Male,Jaipur,RJ,2024-09-09,None,62
C00172,Dhoni,Male,Bengaluru,KA,2024-03-03,Gold,19
C00173,Brijesh,Male,Mysuru,KA,2023-12-20,Platinum,22
C00174,Arafat,Male,Jalandhar,PB,2024-12-31,None,62
C00175,Neha,Female,Nashik,MH,2023-08-09,None,67
C00176,Anamika,Female,Vasai,MH,2024-07-06,Silver,37
C00177,Sakhshi,Female,Patiala,PB,2023-10-31,Platinum,66
C00178,Aarti,Female,Dadar,MH,2023-11-23,Platinum,19
C00179,Anjali,Female,Udaipur,RJ,2023-11-17,Platinum,68
C00180,Neha,Female,Mysuru,KA,2023-09-09,Gold,39
C00181,Minakshi,Female,Ahmedabad,GJ,2024-05-27,None,40
C00182,Amol,Male,Hubballi-Dharwad,KA,2024-09-28,Silver,30
C00183,Amit,Male,Vasai,MH,2024-07-11,None,57
C00184,Brijesh,Male,Mysuru,KA,2023-10-15,Silver,36
C00185,Suraj,Male,Amritsar,PB,2023-06-26,Gold,65
C00186,Brijesh,Male,Mangaluru,KA,2023-12-23,Platinum,48
C00187,Aarti,Female,Naigaon,MH,2023-09-03,Silver,53
C00188,Anamika,Female,Dadar,MH,2024-06-19,Platinum,59
C00189,Priya,Female,Ludhiyana,PB,2025-03-04,Silver,40
C00190,Rahul,Male,Mysuru,KA,2023-04-18,Platinum,22
C00191,Anamika,Female,Palghar,MH,2023-08-18,None,57
C00192,Dhriti,Female,Palghar,MH,2023-05-24,Gold,24
C00193,Anamika,Female,Vasai,MH,2024-01-05,Silver,24
C00194,Dhoni,Male,Bengaluru,KA,2023-08-02,Silver,62
C00195,Anamika,Female,Hubballi-Dharwad,KA,2023-05-12,Platinum,57
C00196,Anjali,Female,Nashik,MH,2023-04-15,None,22
C00197,Anjali,Female,Jaipur,RJ,2025-03-15,Platinum,66
C00198,Briti,Female,Palghar,MH,2025-05-14,Platinum,23
C00199,Sharda,Female,Jalandhar,PB,2023-05-30,Silver,69
C00200,Suraj,Male,Amritsar,PB,2023-05-28,None,27
C00201,Aarti,Female,Hubballi-Dharwad,KA,2024-11-23,Silver,47
C00202,Anamika,Female,Belagavi,KA,2024-01-03,Gold,65
C00203,Dhoni,Male,Mysuru,KA,2025-06-11,None,70
C00204,Anamika,Female,Belagavi,KA,2023-01-29,Gold,37
C00205,Nitesh,Male,Dadar,MH,2024-10-04,None,45
C00206,Prince,Male,Madhurai,TN,2023-06-30,None,51
C00207,Briti,Female,Patiala,PB,2024-11-12,Gold,32
C00208,Dhoni,Male,Bengaluru,KA,2024-11-08,Platinum,38
C00209,Prince,Male,Madhurai,TN,2025-04-06,None,68
C00210,Sonu,Male,Jalandhar,PB,2023-11-22,Gold,67
C00211,Brijesh,Male,Thane,MH,2023-10-05,Gold,25
C00212,Anamika,Female,Hubballi-Dharwad,KA,2024-03-21,None,46
C00213,Samiksha,Female,Naigaon,MH,2024-09-18,Gold,69
C00214,Anamika,Female,Dadar,MH,2025-05-04,None,26
C00215,Aarti,Female,Amritsar,PB,2023-05-26,Silver,44
C00216,Sourabh,Male,Ahmedabad,GJ,2024-05-23,Gold,60
C00217,Anamika,Female,Belagavi,KA,2023-03-02,Platinum,33
C00218,Ajay,Male,Patiala,PB,2024-11-25,None,67
C00219,Sourabh,Male,Patiala,PB,2024-04-07,Platinum,57
C00220,Sourabh,Male,Mangaluru,KA,2024-02-23,None,66
C00221,Minakshi,Female,Solapur,MH,2024-07-18,None,48
C00222,Suraj,Male,Hubballi-Dharwad,KA,2025-03-23,Silver,58
C00223,Ankita,Female,Patiala,PB,2024-12-18,Silver,40
C00224,Arafat,Male,Vasai,MH,2024-02-15,Platinum,30
C00225,Nitesh,Male,Dadar,MH,2024-10-16,None,39
C00226,Minakshi,Female,Mangaluru,KA,2024-09-24,None,49
C00227,Anjali,Female,Mysuru,KA,2024-11-17,Platinum,27
C00228,Sakhshi,Female,Mysuru,KA,2023-05-14,Gold,51
C00229,Brijesh,Male,Nashik,MH,2023-05-08,Gold,46
C00230,Sharda,Female,Belagavi,KA,2024-01-29,Silver,31
C00231,Arafat,Male,Belagavi,KA,2023-12-06,None,28
C00232,Suraj,Male,Amritsar,PB,2025-03-04,Gold,23
C00233,Brijesh,Male,Thane,MH,2023-10-21,Silver,49
C00234,Sourabh,Male,Patiala,PB,2024-05-29,Gold,30
C00235,Brijesh,Male,Thane,MH,2023-08-06,Platinum,18
C00236,Nitesh,Male,Dadar,MH,2023-10-04,Silver,48
C00237,Priya,Female,Ludhiyana,PB,2024-10-05,Gold,56
C00238,Minakshi,Female,Thane,MH,2023-11-22,Silver,28
C00239,Nitesh,Male,Amritsar,PB,2024-10-05,Gold,30
C00240,Nitesh,Male,Amritsar,PB,2023-09-02,Silver,42
C00241,Anjali,Female,Patiala,PB,2023-05-18,Gold,52
C00242,Sakhshi,Female,Mysuru,KA,2023-09-03,Platinum,60
C00243,Sakhshi,Female,Mysuru,KA,2023-07-08,Platinum,63
C00244,Param,Male,Belagavi,KA,2025-04-13,Gold,34
C00245,Sneha,Female,Mumbai,MH,2025-02-02,Platinum,51
C00246,Prince,Male,Jalandhar,PB,2024-06-29,Platinum,60
C00247,Sneha,Female,Mumbai,MH,2025-01-03,Platinum,59
C00248,Sourabh,Male,Solapur,MH,2024-05-25,Silver,67
C00249,Minakshi,Female,Solapur,MH,2024-06-08,Platinum,23
C00250,Vivek,Male,Solapur,MH,2024-09-28,Silver,19
C00251,Priya,Female,Pune,MH,2025-02-05,Gold,32
C00252,Sharda,Female,Jalandhar,PB,2024-07-30,Platinum,66
C00253,Rahul,Male,Nashik,MH,2023-06-16,Silver,42
C00254,Shreya,Female,Palghar,MH,2023-04-07,Gold,63
C00255,Dhoni,Male,Bengaluru,KA,2023-09-01,Silver,23
C00256,Suraj,Male,Belagavi,KA,2024-06-11,None,34
C00257,Dhriti,Female,Belagavi,KA,2023-01-26,Silver,22
C00258,Suraj,Male,Amritsar,PB,2023-03-30,None,47
C00259,Brijesh,Male,Thane,MH,2023-10-15,Platinum,51
C00260,Briti,Female,Surat,GJ,2024-12-26,Gold,32
C00261,Dhriti,Female,Chennai,TN,2024-11-25,Gold,30
C00262,Sakhshi,Female,Nashik,MH,2023-05-09,None,58
C00263,Anjali,Female,Nashik,MH,2023-08-12,Gold,65
C00264,Dhriti,Female,Jalandhar,PB,2023-02-22,None,28
C00265,Dhoni,Male,Nashik,MH,2023-11-07,Platinum,64
C00266,Prem,Male,Jalandhar,PB,2023-01-02,Gold,27
C00267,Brijesh,Male,Mysuru,KA,2024-01-20,Platinum,30
C00268,Dhriti,Female,Jalandhar,PB,2023-10-22,None,19
C00269,Brijesh,Male,Udaipur,RJ,2023-01-26,Silver,27
C00270,Nitesh,Male,Hubballi-Dharwad,KA,2023-10-23,Silver,59
C00271,Amit,Male,Belagavi,KA,2024-07-02,Gold,44
C00272,Aarti,Female,Amritsar,PB,2025-05-21,None,32
C00273,Amit,Male,Belagavi,KA,2024-07-05,None,30
C00274,Vishal,Male,Ludhiyana,PB,2024-02-13,Silver,58
C00275,Param,Male,Surat,GJ,2025-02-14,None,29
C00276,Dhoni,Male,Nashik,MH,2024-01-08,Platinum,45
C00277,Dhriti,Female,Belagavi,KA,2024-07-23,Platinum,62
C00278,Prince,Male,Belagavi,KA,2024-12-25,Gold,48
C00279,Neha,Female,Mysuru,KA,2024-06-10,Gold,19
C00280,Minakshi,Female,Mangaluru,KA,2024-04-28,Gold,66
C00281,Dhriti,Female,Palghar,MH,2024-05-27,Platinum,61
C00282,Arafat,Male,Vasai,MH,2023-08-26,Gold,47
C00283,Rahul,Male,Patiala,PB,2025-02-15,Silver,66
C00284,Anamika,Female,Vasai,MH,2023-07-17,Gold,27
C00285,Brijesh,Male,Thane,MH,2023-07-30,None,63
C00286,Dhoni,Male,Ludhiyana,PB,2024-02-09,None,58
C00287,Param,Male,Jalandhar,PB,2025-02-15,Platinum,41
C00288,Aarti,Female,Hubballi-Dharwad,KA,2024-10-05,Platinum,40
C00289,Anjali,Female,Mysuru,KA,2023-09-14,Gold,65
C00290,Sonu,Male,Palghar,MH,2025-04-23,Silver,37
C00291,Briti,Female,Palghar,MH,2025-05-22,Platinum,40
C00292,Suraj,Male,Dadar,MH,2025-05-31,None,61
C00293,Sourabh,Male,Patiala,PB,2024-03-12,None,19
C00294,Brijesh,Male,Nashik,MH,2023-04-28,Gold,61
C00295,Sakhshi,Female,Thane,MH,2023-09-06,None,29
C00296,Anamika,Female,Belagavi,KA,2023-12-30,Platinum,48
C00297,Shreya,Female,Madhurai,TN,2025-04-24,Silver,59
C00298,Brijesh,Male,Udaipur,RJ,2023-01-09,None,68
C00299,Dhoni,Male,Bengaluru,KA,2023-06-03,Gold,61
C00300,Samiksha,Female,Amritsar,PB,2024-09-27,Silver,46
C00301,Anamika,Female,Dadar,MH,2024-03-16,Gold,22
C00302,Anjali,Female,Patiala,PB,2024-01-18,Platinum,43
C00303,Minakshi,Female,Thane,MH,2023-12-26,Gold,31
C00304,Ajay,Male,Patiala,PB,2024-11-25,Gold,32
C00305,Sakhshi,Female,Patiala,PB,2023-07-17,None,46
C00306,Anamika,Female,Hubballi-Dharwad,KA,2024-05-09,Platinum,20
C00307,Arafat,Male,Vasai,MH,2023-02-03,Platinum,5
C00308,Vishal,Male,Patiala,PB,2023-10-14,None,47
C00309,Dhriti,Female,Belagavi,KA,2025-02-24,Gold,22
C00310,Briti,Female,Solapur,MH,2024-11-09,None,55
C00311,Param,Male,Palghar,MH,2025-03-17,Platinum,45
C00312,Vishal,Male,Jaipur,RJ,2024-11-14,Gold,37
C00313,Sakhshi,Female,Patiala,PB,2023-04-09,Platinum,27
C00315,Ankita,Female,Mysuru,KA,2023-04-05,Silver,70
C00316,Nitesh,Male,Dadar,MH,2024-10-13,Gold,60
C00317,Prince,Male,Palghar,MH,2023-12-27,Silver,19
C00318,Amit,Male,Belagavi,KA,2024-07-17,None,68
C00319,Neha,Female,Nashik,MH,2025-01-10,Gold,26
C00320,Prince,Male,Palghar,MH,2024-05-30,None,64
C00321,Dhoni,Male,Mysuru,KA,2024-05-11,Gold,26
C00322,Dhoni,Male,Nashik,MH,2024-11-11,None,44
C00323,Suraj,Male,Dadar,MH,2025-03-06,None,51
C00324,Dhriti,Female,Jalandhar,PB,2025-05-21,Gold,65
C00325,Dhoni,Male,Bengaluru,KA,2023-02-02,Gold,68
C00326,Arafat,Male,Madhurai,TN,2025-04-18,None,41
C00327,Sourabh,Male,Patiala,PB,2024-01-12,None,59
C00328,Param,Male,Palghar,MH,2025-01-24,None,64
C00329,Minakshi,Female,Mangaluru,KA,2024-07-21,Silver,35
C00330,Param,Male,Belagavi,KA,2025-04-26,Gold,64
C00331,Prince,Male,Belagavi,KA,2023-07-28,Platinum,18
C00332,Aarti,Female,Hubballi-Dharwad,KA,2023-10-01,None,26
C00333,Anamika,Female,Belagavi,KA,2023-12-17,Gold,41
C00334,Sakhshi,Female,Patiala,PB,2023-08-05,Gold,51
C00335,Anamika,Female,Amritsar,PB,2023-06-26,Silver,62
C00336,Minakshi,Female,Mangaluru,KA,2024-07-13,Gold,22
C00337,Ankita,Female,Patiala,PB,2024-01-19,Silver,35
C00338,Dhriti,Female,Belagavi,KA,2024-03-25,Platinum,27
C00339,Sakhshi,Female,Patiala,PB,2023-08-14,Silver,49
C00340,Arafat,Male,Vasai,MH,2024-12-06,Gold,69
C00341,Ankita,Female,Udaipur,RJ,2023-01-17,Platinum,68
C00342,Suraj,Male,Belagavi,KA,2023-07-30,Platinum,46
C00343,Briti,Female,Mangaluru,KA,2024-12-19,Silver,32
C00344,Sourabh,Male,Mangaluru,KA,2024-07-14,None,59
C00345,Briti,Female,Palghar,MH,2024-11-21,Gold,48
C00346,Brijesh,Male,Thane,MH,2023-12-02,Silver,65
C00347,Sourabh,Male,Ahmedabad,GJ,2024-04-05,None,23
C00348,Anamika,Female,Belagavi,KA,2023-02-23,Platinum,61
C00349,Sourabh,Male,Patiala,PB,2024-06-19,Gold,30
C00350,Anamika,Female,Belagavi,KA,2024-07-01,None,63
C00351,Amol,Male,Naigaon,MH,2024-09-18,Silver,21
C00352,Amit,Male,Belagavi,KA,2023-07-02,Gold,22
C00353,Anamika,Female,Vasai,MH,2023-02-05,Silver,19
C00354,Suraj,Male,Dadar,MH,2024-03-01,None,58
C00355,Sourabh,Male,Thane,MH,2023-12-27,Gold,38
C00356,Arafat,Male,Belagavi,KA,2023-12-25,Platinum,28
C00357,Minakshi,Female,Patiala,PB,2024-07-10,Silver,26
C00358,Dhoni,Male,Mysuru,KA,2025-01-10,Gold,50
C00359,Dhoni,Male,Bengaluru,KA,2025-02-07,Platinum,44
C00360,Priya,Female,Ludhiyana,PB,2023-07-08,Silver,65
C00361,Samiksha,Female,Amritsar,PB,2024-09-19,Silver,20
C00362,Anamika,Female,Jalandhar,PB,2025-02-07,None,69
C00363,Sharda,Female,Palghar,MH,2024-08-30,Platinum,29
C00364,Prem,Male,Belagavi,KA,2025-02-23,Silver,19
C00365,Ankita,Female,Nashik,MH,2023-03-15,None,31
C00366,Minakshi,Female,Thane,MH,2024-01-25,Gold,33
C00367,Anamika,Female,Amritsar,PB,2023-03-11,Platinum,62
C00368,Dhoni,Male,Jaipur,RJ,2023-03-07,None,55
C00369,Minakshi,Female,Mangaluru,KA,2024-02-13,None,22
C00370,Minakshi,Female,Patiala,PB,2023-12-10,Silver,40
C00371,Briti,Female,Surat,GJ,2024-11-25,None,20
C00372,Briti,Female,Belagavi,KA,2025-01-23,Platinum,19
C00373,Anamika,Female,Jalandhar,PB,2024-12-18,Platinum,61
C00374,Brijesh,Male,Patiala,PB,2023-04-08,Gold,46
C00375,Dhoni,Male,Mumbai,MH,2023-11-02,None,33
C00376,Amol,Male,Amritsar,PB,2023-09-14,Platinum,37
C00377,Anamika,Female,Belagavi,KA,2023-07-30,None,43
C00378,Brijesh,Male,Thane,MH,2023-09-17,Gold,24
C00379,Nitesh,Male,Dadar,MH,2024-11-10,Platinum,67
C00380,Param,Male,Palghar,MH,2025-03-10,Platinum,40
C00381,Suraj,Male,Hubballi-Dharwad,KA,2023-11-05,Gold,34
C00382,Brijesh,Male,Patiala,PB,2023-08-10,Gold,24
C00383,Brijesh,Male,Thane,MH,2023-10-18,None,67
C00384,Anamika,Female,Amritsar,PB,2024-07-30,Platinum,33
C00385,Nitesh,Male,Dadar,MH,2023-10-15,None,18
C00386,Amit,Male,Vasai,MH,2023-07-21,Silver,60
C00387,Anamika,Female,Amritsar,PB,2024-07-21,Gold,61
C00388,Shreya,Female,Belagavi,KA,2023-04-27,None,19
C00389,Dhoni,Male,Ludhiyana,PB,2025-04-04,Gold,26
C00390,Nitesh,Male,Amritsar,PB,2024-11-22,None,24
C00391,Anamika,Female,Belagavi,KA,2024-08-12,None,57
C00392,Vivek,Male,Ahmedabad,GJ,2024-09-06,Platinum,53
C00393,Suraj,Male,Dadar,MH,2023-05-07,Gold,67
C00394,Sharda,Female,Belagavi,KA,2024-12-28,Platinum,46
C00395,Sonu,Male,Jalandhar,PB,2023-07-23,Silver,24
C00396,Brijesh,Male,Thane,MH,2023-10-02,None,36
C00397,Sneha,Female,Mumbai,MH,2023-04-02,Silver,51
C00398,Sakhshi,Female,Nashik,MH,2023-05-11,Silver,58
C00399,Arafat,Male,Belagavi,KA,2025-02-02,None,54
C00400,Rahul,Male,Patiala,PB,2024-09-15,Platinum,31
C00401,Dhriti,Female,Palghar,MH,2024-12-24,None,46
C00402,Prince,Male,Palghar,MH,2024-05-28,Silver,44
C00403,Sonu,Male,Belagavi,KA,2023-09-23,Silver,61
C00404,Dhoni,Male,Pune,MH,2023-07-03,None,49
C00405,Suraj,Male,Amritsar,PB,2025-05-14,Silver,41
C00406,Priya,Female,Pune,MH,2024-02-04,Gold,63
C00407,Ajay,Male,Palghar,MH,2024-12-22,Gold,19
C00408,Arafat,Male,Vasai,MH,2023-02-06,Platinum,40
C00409,Amit,Male,Dadar,MH,2024-07-22,None,61
C00410,Briti,Female,Mangaluru,KA,2024-10-30,Platinum,42
C00411,Rahul,Male,Nashik,MH,2024-07-15,Platinum,51
